THD,T,Epsilon,Time
4,32,0.0001,0.741771
4,32,0.0001,0.743424
4,32,0.0001,0.742745
4,32,0.0001,0.74272
4,32,0.0001,0.744366
4,32,0.0001,0.743972
4,32,0.0001,0.7431
4,32,0.0001,0.743769
4,32,0.0001,0.7429
4,32,0.0001,0.744281
4,32,0.0001,0.743696
4,32,0.0001,0.743012
4,32,0.0001,0.742928
4,32,0.0001,0.743758
4,32,0.0001,0.743441
4,32,0.0001,0.743672
4,32,0.0001,0.743828
4,32,0.0001,0.742874
4,64,0.001,9.4533
4,64,0.001,9.44989
4,64,0.001,9.45115
4,64,0.001,9.44522
4,64,0.001,9.45106
4,64,0.001,9.4512
4,64,0.001,9.45217
4,64,0.001,9.45645
4,64,0.001,9.45169
4,64,0.001,9.46263
4,64,0.001,9.46076
4,64,0.001,9.46839
4,64,0.001,9.46458
4,64,0.001,9.45593
4,64,0.001,9.45705
4,64,0.001,9.4529
4,64,0.001,9.45409
4,64,0.001,9.45099
4,64,0.001,9.45341
4,64,0.001,9.45022
4,64,0.001,9.4475
4,64,0.001,9.45199
4,64,0.001,9.46226
4,64,0.001,9.45846
4,64,0.001,9.46156
4,64,0.001,9.45258
4,64,0.001,9.45726
4,64,0.001,9.45623
4,64,0.001,9.45191
4,64,0.001,9.45187
4,64,0.001,9.45639
4,64,0.001,9.45353
4,64,0.001,9.4596
4,64,0.001,9.45365
4,64,0.001,9.44938
4,64,0.001,9.44949
4,64,0.001,9.45072
4,64,0.001,9.45287
4,64,0.001,9.45086
4,64,0.001,9.45992
4,64,0.001,9.44703
4,64,0.001,9.44517
4,64,0.001,9.44474
4,64,0.001,9.45237
4,64,0.001,9.45123
4,64,0.001,9.44561
4,64,0.001,9.45953
4,64,0.001,9.44991
4,64,0.001,9.44708
4,64,0.001,9.44802
4,128,0.15,6.91972
4,128,0.15,6.91471
4,128,0.15,6.92323
4,128,0.15,6.92439
4,128,0.15,6.93245
4,128,0.15,6.92988
4,128,0.15,6.92995
4,128,0.15,6.92923
4,128,0.15,6.92939
4,128,0.15,6.9281
4,128,0.15,6.92657
4,128,0.15,6.93276
4,128,0.15,6.93309
4,128,0.15,6.93453
4,128,0.15,6.93072
4,128,0.15,6.93362
4,128,0.15,6.93805
4,128,0.15,6.93971
4,128,0.15,6.9324
4,128,0.15,6.95057
4,128,0.15,6.9336
4,128,0.15,6.93326
4,128,0.15,6.93698
4,128,0.15,6.94043
4,128,0.15,6.93831
4,128,0.15,6.93094
4,128,0.15,6.93583
4,128,0.15,6.93922
4,128,0.15,6.94236
4,128,0.15,6.94381
4,128,0.15,6.93114
4,128,0.15,6.92615
4,128,0.15,6.92756
4,128,0.15,6.92167
4,128,0.15,6.93327
4,128,0.15,6.93418
4,128,0.15,6.93256
4,128,0.15,6.92354
4,128,0.15,6.95244
4,128,0.15,6.93916
4,128,0.15,6.92817
4,128,0.15,6.93764
4,128,0.15,6.93682
4,128,0.15,6.9236
4,128,0.15,6.92333
4,128,0.15,6.93194
4,128,0.15,6.92475
4,128,0.15,6.9419
4,128,0.15,6.93153
4,128,0.15,6.94432
4,256,0.2,8.59318
4,256,0.2,8.59231
4,256,0.2,8.5901
4,256,0.2,8.5816
4,256,0.2,8.57367
4,256,0.2,8.57324
4,256,0.2,8.57301
4,256,0.2,8.58074
4,256,0.2,8.57533
4,256,0.2,8.56766
4,256,0.2,8.57102
4,256,0.2,8.58
4,256,0.2,8.58403
4,256,0.2,8.57805
4,256,0.2,8.58584
4,256,0.2,8.57914
4,256,0.2,8.57444
4,256,0.2,8.57954
4,256,0.2,8.58894
4,256,0.2,8.57999
4,256,0.2,8.578
4,256,0.2,8.57172
4,256,0.2,8.57551
4,256,0.2,8.58235
4,256,0.2,8.57764
4,256,0.2,8.57723
4,256,0.2,8.58229
4,256,0.2,8.58042
4,256,0.2,8.58029
4,256,0.2,8.56953
4,256,0.2,8.56865
4,256,0.2,8.57211
4,256,0.2,8.59037
4,256,0.2,8.58448
4,256,0.2,8.57775
4,256,0.2,8.5764
4,256,0.2,8.58762
4,256,0.2,8.59875
4,256,0.2,8.59899
4,256,0.2,8.58608
4,256,0.2,8.59189
4,256,0.2,8.57353
4,256,0.2,8.57841
4,256,0.2,8.58426
4,256,0.2,8.57094
4,256,0.2,8.57402
4,256,0.2,8.56994
4,256,0.2,8.572
4,256,0.2,8.59923
4,256,0.2,8.57317
4,512,0.35,7.68809
4,512,0.35,7.68726
4,512,0.35,7.68993
4,512,0.35,7.68704
4,512,0.35,7.69075
4,512,0.35,7.68544
4,512,0.35,7.68639
4,512,0.35,7.69017
4,512,0.35,7.68744
4,512,0.35,7.68675
4,512,0.35,7.6881
4,512,0.35,7.68073
4,512,0.35,7.68109
4,512,0.35,7.67706
4,512,0.35,7.67769
4,512,0.35,7.67811
4,512,0.35,7.68078
4,512,0.35,7.67706
4,512,0.35,7.68038
4,512,0.35,7.6841
4,512,0.35,7.67688
4,512,0.35,7.67996
4,512,0.35,7.67888
4,512,0.35,7.68029
4,512,0.35,7.69412
4,512,0.35,7.69924
4,512,0.35,7.69798
4,512,0.35,7.67735
4,512,0.35,7.67938
4,512,0.35,7.67864
4,512,0.35,7.68002
4,512,0.35,7.68581
4,512,0.35,7.67963
4,512,0.35,7.68221
4,512,0.35,7.68334
4,512,0.35,7.6794
4,512,0.35,7.68059
4,512,0.35,7.67575
4,512,0.35,7.67719
4,512,0.35,7.67813
