THD,T,Time
8,6,3.99926
8,6,3.99825
8,6,4.18347
8,6,4.06892
8,6,4.06396
8,6,4.07851
8,6,4.10869
8,6,4.10025
8,6,4.11899
8,6,4.20686
8,6,4.19651
8,6,4.12467
8,6,4.26364
8,6,4.19683
8,6,4.15273
8,6,4.19202
8,6,4.25188
8,6,4.13291
8,6,4.17191
8,6,4.13707
8,6,4.13807
8,6,4.28731
8,6,4.17395
8,6,4.12835
8,6,4.15522
8,6,4.17742
8,6,4.13716
8,6,4.14432
8,6,4.1438
16,1,0.013885
16,1,0.0138571
16,1,0.013859
16,1,0.0139628
16,1,0.0139942
16,1,0.0138831
16,1,0.0138581
16,1,0.0140616
16,1,0.0138584
16,1,0.0138071
16,1,0.0139235
16,1,0.0138755
16,1,0.0140161
16,1,0.0138898
16,1,0.0137058
16,1,0.0140429
16,1,0.0138791
16,1,0.0137448
16,1,0.0138564
16,1,0.0139128
16,1,0.0138798
16,1,0.0138551
16,1,0.0139945
16,1,0.0140251
16,1,0.0139201
16,1,0.0138919
16,1,0.0137158
16,1,0.0137204
16,1,0.0136012
16,1,0.013923
16,1,0.0138164
16,1,0.0139064
16,1,0.013972
16,1,0.0138484
16,1,0.0137399
16,1,0.0137629
16,1,0.0138649
16,1,0.0139512
16,1,0.0138518
16,1,0.0139825
16,1,0.0136461
16,1,0.0137428
16,1,0.0139436
16,1,0.0139431
16,1,0.0139707
16,1,0.0138685
16,1,0.0138464
16,1,0.0138155
16,1,0.0138867
16,1,0.0138717
16,2,0.0233973
16,2,0.0230616
16,2,0.0226833
16,2,0.0226641
16,2,0.0232408
16,2,0.0236269
16,2,0.0227174
16,2,0.0228918
16,2,0.0225098
16,2,0.0227979
16,2,0.0227929
16,2,0.0226679
16,2,0.0226423
16,2,0.023037
16,2,0.0232559
16,2,0.0229256
16,2,0.0227787
16,2,0.0222944
16,2,0.0229286
16,2,0.023423
16,2,0.023372
16,2,0.0230311
16,2,0.0232874
16,2,0.0233881
16,2,0.0230433
16,2,0.0230768
16,2,0.0230926
16,2,0.0233452
16,2,0.0228953
16,2,0.0227351
16,2,0.0230454
16,2,0.0228362
16,2,0.0233482
16,2,0.0234378
16,2,0.0230984
16,2,0.023255
16,2,0.0236548
16,2,0.023513
16,2,0.0233775
16,2,0.0235399
16,2,0.0238136
16,2,0.0234598
16,2,0.023567
16,2,0.023676
16,2,0.0234583
16,2,0.0231544
16,2,0.0228529
16,2,0.0227389
16,2,0.0226136
16,2,0.0229687
16,3,0.0625266
16,3,0.0630356
16,3,0.0621854
16,3,0.0629515
16,3,0.0623346
16,3,0.0621444
16,3,0.0627997
16,3,0.0622688
16,3,0.0627866
16,3,0.0637152
16,3,0.0624129
16,3,0.0625545
16,3,0.0625781
16,3,0.0626518
16,3,0.0625617
16,3,0.0623287
16,3,0.0630622
16,3,0.0620592
16,3,0.0624634
16,3,0.0632642
16,3,0.0624753
16,3,0.0626609
16,3,0.0626686
16,3,0.0629998
16,3,0.0625531
16,3,0.0624724
16,3,0.0631863
16,3,0.0623813
16,3,0.0626817
16,3,0.0632637
16,3,0.0628137
16,3,0.0628097
16,3,0.0628335
16,3,0.0632443
16,3,0.0623735
16,3,0.0626928
16,3,0.0625886
16,3,0.0625833
16,3,0.0627227
16,3,0.0619853
16,3,0.0629341
16,3,0.062519
16,3,0.0625115
16,3,0.0623252
16,3,0.0630652
16,3,0.0627303
16,3,0.0621708
16,3,0.06222
16,3,0.0624326
16,3,0.06256
16,4,0.205013
16,4,0.205303
16,4,0.204907
16,4,0.204674
16,4,0.20506
16,4,0.204716
16,4,0.205652
16,4,0.205157
16,4,0.205494
16,4,0.205883
16,4,0.204855
16,4,0.205179
16,4,0.205385
16,4,0.205247
16,4,0.20521
16,4,0.205262
16,4,0.205681
16,4,0.2054
16,4,0.205526
16,4,0.20525
16,4,0.205558
16,4,0.209019
16,4,0.209483
16,4,0.209329
16,4,0.204531
16,4,0.204661
16,4,0.204147
16,4,0.205594
16,4,0.204278
16,4,0.205183
16,4,0.20407
16,4,0.205264
16,4,0.204704
16,4,0.204704
16,4,0.204434
16,4,0.204599
16,4,0.204185
16,4,0.204747
16,4,0.204634
16,4,0.205154
16,4,0.204738
16,4,0.205276
16,4,0.203994
16,4,0.203624
16,4,0.20353
16,4,0.203289
16,4,0.203934
16,4,0.203623
16,4,0.204803
16,4,0.203965
16,5,0.790917
16,5,0.78504
16,5,0.735661
16,5,0.739833
16,5,0.74143
16,5,0.738824
16,5,0.740093
16,5,0.742932
16,5,0.747066
16,5,0.753859
16,5,0.75186
16,5,0.75248
16,5,0.753074
16,5,0.753737
16,5,0.750638
16,5,0.750662
16,5,0.750618
16,5,0.753317
16,5,0.752002
16,5,0.75336
16,5,0.753436
16,5,0.753388
16,5,0.754515
16,5,0.751381
16,5,0.750929
16,5,0.751176
16,5,0.755793
16,5,0.750992
16,5,0.753362
16,5,0.753227
16,5,0.754592
16,5,0.752104
16,5,0.752375
16,5,0.753447
16,5,0.752598
16,5,0.753671
16,5,0.754315
16,5,0.751709
16,5,0.758604
16,5,0.79414
16,5,0.795118
16,5,0.794579
16,5,0.796526
16,5,0.794955
16,5,0.795696
16,5,0.794742
16,5,0.798688
16,5,0.794728
16,5,0.794113
16,5,0.795831
16,6,2.98752
16,6,2.92158
16,6,3.08877
16,6,3.09257
16,6,3.15186
16,6,2.90478
16,6,3.02208
16,6,2.89848
16,6,2.96765
16,6,3.00817
16,6,3.02016
16,6,3.1014
16,6,3.0338
16,6,3.05818
16,6,3.01448
16,6,3.02621
16,6,3.13573
16,6,3.12946
16,6,3.13157
16,6,3.1266
16,6,3.01096
16,6,3.00634
16,6,2.9031
16,6,2.76375
16,6,2.74314
16,6,2.89949
16,6,3.03245
16,6,3.03513
16,6,3.03332
16,6,3.03392
16,6,3.03626
16,6,3.05125
16,6,3.09066
16,6,3.11062
16,6,2.8241
16,6,2.87403
16,6,3.00936
16,6,2.7825
16,6,2.78541
16,6,2.95814
16,6,3.13481
16,6,3.09213
16,6,2.76558
16,6,2.7786
16,6,2.77824
16,6,2.94494
16,6,3.03624
16,6,3.03185
16,6,3.03433
16,6,3.03121
