THD,T,Time
4,6,8.26197
4,6,7.82045
4,6,7.89158
4,6,8.00186
4,6,8.03876
4,6,7.51155
4,6,7.34813
4,6,7.3801
4,6,7.36634
4,6,7.37584
4,6,7.37403
4,6,7.44275
4,6,7.4779
4,6,7.47346
4,6,7.42955
4,6,7.46078
4,6,7.46289
4,6,7.46859
4,6,7.46218
4,6,7.45925
4,6,7.4501
4,6,7.69972
4,6,7.71208
4,6,7.75546
4,6,7.73236
4,6,7.67586
4,6,7.70876
4,6,7.68549
4,6,7.44954
4,6,7.44951
4,6,7.4498
4,6,7.45659
4,6,7.47106
4,6,7.51038
4,6,7.48448
4,6,7.48332
4,6,7.48686
4,6,7.47643
4,6,7.47766
4,6,7.49311
4,6,7.53379
4,6,7.53687
4,6,7.49947
4,6,7.51455
4,6,7.49785
8,1,0.0114925
8,1,0.0115734
8,1,0.0114958
8,1,0.011636
8,1,0.0114726
8,1,0.0121134
8,1,0.0126436
8,1,0.0126755
8,1,0.0126212
8,1,0.0122257
8,1,0.0116358
8,1,0.0116987
8,1,0.0115637
8,1,0.0115158
8,1,0.0116698
8,1,0.0114861
8,1,0.011612
8,1,0.0116093
8,1,0.0116284
8,1,0.0115918
8,1,0.0116038
8,1,0.0115991
8,1,0.0116104
8,1,0.0118701
8,1,0.011963
8,1,0.0118684
8,1,0.0127756
8,1,0.0116981
8,1,0.0116058
8,1,0.0116697
8,1,0.0115993
8,1,0.0116976
8,1,0.0116223
8,1,0.011656
8,1,0.0115829
8,1,0.0116929
8,1,0.0118004
8,1,0.0138794
8,1,0.0138046
8,1,0.0139044
8,1,0.0140694
8,1,0.013073
8,1,0.0127433
8,1,0.0127053
8,1,0.0129463
8,1,0.0127091
8,1,0.0129556
8,1,0.0129362
8,1,0.0128629
8,1,0.0129333
8,2,0.0233684
8,2,0.0235651
8,2,0.0306752
8,2,0.0298894
8,2,0.0255213
8,2,0.0253712
8,2,0.0253399
8,2,0.0253393
8,2,0.0253898
8,2,0.0253213
8,2,0.0254722
8,2,0.0253096
8,2,0.0255762
8,2,0.0252927
8,2,0.0253661
8,2,0.0255642
8,2,0.025407
8,2,0.0253775
8,2,0.0253378
8,2,0.0252865
8,2,0.0253625
8,2,0.0253944
8,2,0.0252207
8,2,0.0253373
8,2,0.025507
8,2,0.0253416
8,2,0.0254217
8,2,0.0253392
8,2,0.0252859
8,2,0.0254279
8,2,0.0254984
8,2,0.0253051
8,2,0.0254526
8,2,0.0252347
8,2,0.0252911
8,2,0.0253463
8,2,0.0253805
8,2,0.025444
8,2,0.025246
8,2,0.0253372
8,2,0.0253484
8,2,0.0252863
8,2,0.025297
8,2,0.0255342
8,2,0.0253442
8,2,0.0254221
8,2,0.0252901
8,2,0.0253136
8,2,0.0254154
8,2,0.0252477
8,3,0.0775622
8,3,0.077618
8,3,0.0775476
8,3,0.0774662
8,3,0.0776361
8,3,0.0775929
8,3,0.0777417
8,3,0.0775726
8,3,0.0777218
8,3,0.0775216
8,3,0.0777714
8,3,0.0783775
8,3,0.0783086
8,3,0.0777254
8,3,0.0771517
8,3,0.0769058
8,3,0.0771753
8,3,0.0771598
8,3,0.0770596
8,3,0.0770241
8,3,0.0770398
8,3,0.0770067
8,3,0.0769846
8,3,0.0769107
8,3,0.0769016
8,3,0.0773555
8,3,0.0771422
8,3,0.0768799
8,3,0.0773609
8,3,0.0769901
8,3,0.0768777
8,3,0.076727
8,3,0.0764915
8,3,0.0769792
8,3,0.0766995
8,3,0.0766115
8,3,0.0767172
8,3,0.0768243
8,3,0.076808
8,3,0.0767485
8,3,0.0766835
8,3,0.0769752
8,3,0.0768791
8,3,0.0768847
8,3,0.0767741
8,3,0.0767883
8,3,0.0769118
8,3,0.0770062
8,3,0.0769655
8,3,0.0768471
8,4,0.274965
8,4,0.273329
8,4,0.273192
8,4,0.274617
8,4,0.273785
8,4,0.273244
8,4,0.27462
8,4,0.273561
8,4,0.273978
8,4,0.275848
8,4,0.275609
8,4,0.275597
8,4,0.275426
8,4,0.27455
8,4,0.274388
8,4,0.274778
8,4,0.273625
8,4,0.274098
8,4,0.276468
8,4,0.27327
